,Year,Region,Country,Buddhists,Christians,Folk Religions,Hindus,Jews,Muslims,Other Religions,Unaffiliated
198,2010,Asia-Pacific,South Korea,22.9,29.4,1.0,1.0,1.0,1.0,1.0,
199,2010,Europe,Spain,1.0,78.6,1.0,1.0,1.0,,1.0,19.0
200,2010,Asia-Pacific,Sri Lanka,69.3,7.3,1.0,13.6,1.0,9.8,1.0,1.0
201,2010,Middle East-North Africa,Sudan,1.0,5.4,2.8,1.0,1.0,90.7,1.0,1.0
202,2010,Latin America-Caribbean,Suriname,1.0,51.6,5.3,19.8,1.0,15.2,1.8,5.4
203,2010,Sub-Saharan Africa,Swaziland,1.0,88.1,1.0,1.0,1.0,1.0,1.0,10.1
204,2010,Europe,Sweden,1.0,67.2,1.0,1.0,1.0,4.6,1.0,27.0
205,2010,Europe,Switzerland,1.0,72.7,1.0,1.0,1.0,4.9,1.0,20.9
206,2010,Middle East-North Africa,Syria,1.0,5.2,1.0,1.0,1.0,92.8,1.0,2.0
207,2010,Asia-Pacific,Taiwan,21.3,5.5,44.2,1.0,1.0,1.0,16.2,
208,2010,Asia-Pacific,Tajikistan,1.0,,1.0,1.0,1.0,96.7,1.0,1.5
209,2010,Sub-Saharan Africa,Tanzania,,61.4,1.8,1.0,1.0,35.2,1.0,1.4
210,2010,Asia-Pacific,Thailand,93.2,1.0,1.0,1.0,1.0,5.5,1.0,1.0
211,2010,Asia-Pacific,Timor-Leste,1.0,99.0,1.0,1.0,1.0,1.0,1.0,1.0
212,2010,Sub-Saharan Africa,Togo,1.0,43.7,35.6,1.0,1.0,14.0,1.0,6.2
213,2010,Asia-Pacific,Tokelau,1.0,99.0,1.0,,1.0,1.0,1.0,1.0
214,2010,Asia-Pacific,Tonga,1.0,98.9,1.0,1.0,1.0,1.0,1.0,
215,2010,Latin America-Caribbean,Trinidad and Tobago,1.0,65.9,1.9,22.7,1.0,5.9,1.4,1.9
216,2010,Middle East-North Africa,Tunisia,1.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0
217,2010,Asia-Pacific,Turkey,1.0,,1.0,1.0,1.0,98.0,1.0,1.2
218,2010,Asia-Pacific,Turkmenistan,1.0,6.4,1.0,1.0,1.0,93.0,1.0,1.0
219,2010,Latin America-Caribbean,Turks and Caicos Islands,1.0,92.1,2.7,1.0,1.0,1.0,1.0,4.6
220,2010,Asia-Pacific,Tuvalu,1.0,96.7,1.0,1.0,1.0,1.0,1.9,1.3
221,2010,Sub-Saharan Africa,Uganda,1.0,86.7,1.0,1.0,1.0,11.5,1.0,1.0
222,2010,Europe,Ukraine,1.0,83.8,1.0,1.0,1.0,1.2,1.0,14.7
223,2010,Middle East-North Africa,United Arab Emirates,2.0,12.6,1.0,6.6,1.0,76.9,1.0,1.1
224,2010,Europe,United Kingdom,1.0,,1.0,1.4,1.0,4.8,1.0,27.8
225,2010,North America,United States,1.2,78.3,1.0,1.0,1.8,,1.0,
226,2010,Latin America-Caribbean,U.S. Virgin Islands,1.0,94.8,1.0,1.0,1.0,,1.0,3.7
227,2010,Latin America-Caribbean,Uruguay,1.0,57.9,1.0,1.0,1.0,1.0,1.0,40.7
228,2010,Asia-Pacific,Uzbekistan,1.0,2.3,1.0,1.0,1.0,96.7,1.0,1.0
229,2010,Asia-Pacific,Vanuatu,1.0,93.3,4.1,1.0,1.0,1.0,1.4,1.2
230,2010,Latin America-Caribbean,Venezuela,1.0,89.3,1.0,1.0,1.0,1.0,1.0,10.0
231,2010,Asia-Pacific,Vietnam,16.4,8.2,45.3,1.0,1.0,1.0,1.0,29.6
232,2010,Asia-Pacific,Wallis and Futuna,1.0,97.4,1.2,1.0,1.0,1.0,1.0,1.0
233,2010,Middle East-North Africa,Western Sahara,1.0,1.0,1.0,,1.0,99.0,1.0,1.0
234,2010,Middle East-North Africa,Yemen,1.0,1.0,1.0,,1.0,99.0,1.0,1.0
235,2010,Sub-Saharan Africa,Zambia,1.0,97.6,1.0,1.0,1.0,1.0,1.0,1.0
236,2010,Sub-Saharan Africa,Zimbabwe,1.0,87.0,3.8,1.0,1.0,1.0,1.0,7.9
237,2010,Sub-Saharan Africa,South Sudan,1.0,60.5,32.9,1.0,1.0,6.2,1.0,1.0
238,2010,Latin America-Caribbean,Curacao,1.0,,1.2,1.0,1.0,1.0,1.0,3.3
239,2010,Latin America-Caribbean,Sint Maarten,1.0,93.9,1.2,1.0,1.0,1.0,1.0,3.3
240,2010,Latin America-Caribbean,Caribbean Netherlands,1.0,93.9,1.2,1.0,1.0,1.0,1.0,3.3
241,2020, World, All Countries,6.6,31.1,5.6,15.2,1.0,24.9,1.0,15.6
242,2020,North America, All Countries,1.2,74.6,1.0,1.0,1.6,1.3,1.0,19.2
